signal_id,dimension,time_series
0,4481,[4.218142   4.187014   4.2369833  ... 1.0588671  1.0797744  0.98268974]
1,5120,[-3.3216012 -3.3463109 -3.4138548 ... -4.9514685 -5.1306186 -5.314801 ]
2,6013,[-1.2212995 -1.1289556 -1.0622644 ...  1.567141   1.5811075  1.5792452]
3,6275,"[-0.22061178 -1.7926348  -2.7961662  ...  1.236693    0.19410615
  0.3180115 ]"
4,5628,[-9.16302   -7.6788673 -6.511563  ... -5.654341  -5.1752543 -3.8136275]
5,7938,"[-0.83889985  1.8595966   3.1629086  ... 19.416018   19.38864
 18.916195  ]"
6,6267,[32.890877  33.400925  33.34629   ... 15.2970705 15.815318  15.930182 ]
7,7168,"[15.359751   14.510396   13.772975   ... -0.46317586 -0.08083478
  0.25899494]"
8,4350,[-1.917851  -1.3581434 -1.2635697 ...  6.0728426  5.105161   4.379634 ]
9,3195,[-2.8264656 -5.4954705 -7.79109   ...  5.5478616  4.2386475  3.5143375]
10,6275,[-3.5961237 -3.6198273 -3.933087  ... 26.094818  25.410175  25.240013 ]
11,4481,"[25.523947   25.696512   24.783081   ...  0.49204335 -2.4324338
 -3.0582078 ]"
12,4481,"[25.523947   25.696512   24.783081   ...  0.49204335 -2.4324338
 -3.0582078 ]"
13,7938,"[-1.8005161  -0.18501437  1.3447706  ...  6.775521    6.458013
  6.665774  ]"
14,9339,[ 6.387508   7.9355116  7.6909566 ... 10.902337  10.660221  10.540697 ]
15,7299,[ 2.6919835  3.2172678  4.0739827 ... 10.826377   9.226968   9.409867 ]
16,3965,[10.947895 12.03903  11.594744 ...  9.710176  9.733931  9.685379]
17,8446,[ 10.947895  12.03903   11.594744 ... -46.809628 -46.41236  -46.20286 ]
18,8446,[5.4765286 5.322423  5.46726   ... 3.8647506 1.8362345 2.1071725]
19,6275,"[ 54.40939    54.439983   54.22732   ... -10.709477   -6.7388864
  -1.044359 ]"
20,2810,[-10.233842 -10.02636   -9.660292 ... -15.663308 -15.601241 -15.466471]
21,4989,[ 7.842615   7.494714   7.4128056 ... -9.521302  -9.072964  -8.789686 ]
22,5767,[0.45008785 0.4891164  0.74508274 ... 8.400247   8.363894   7.4643297 ]
23,8839,[0.45008785 0.4891164  0.74508274 ... 7.7390084  7.8271422  8.036064  ]
24,8323,[-8.136336 -9.285183 -9.435693 ... 18.108133 17.64842  17.36551 ]
25,6267,[16.964903  16.6589    16.900425  ... -8.3099575 -8.287828  -8.044075 ]
26,6013,"[-23.777273  -23.665335  -23.499556  ...  -3.16841    -3.306004
  -3.7372422]"
27,9339,[ 43.365124  44.1319    43.37601  ... -68.10022  -67.05666  -66.33604 ]
28,8323,[ -4.164255  -4.382535  -4.344528 ... -28.707853 -28.50872  -27.99953 ]
29,9592,[-42.68272  -42.891174 -43.113415 ...  -8.427977  -8.210208  -8.065553]
30,7421,[-80.18235  -79.63212  -78.96499  ... -27.54449  -27.626444 -27.822363]
31,8192,[ -8.057825  -8.139717  -8.038741 ... -10.831426 -10.435911 -11.871307]
32,7553,[-27.75004  -27.497087 -27.42489  ... -16.213879 -15.823192 -15.693326]
33,8708,[ 4.92394    5.9820046  6.949317  ... 34.273987  34.46656   34.7963   ]
34,7807,[-15.765477 -15.949083 -16.089504 ...  16.874758  16.786388  16.858686]
35,8962,[35.103065  35.3024    35.463585  ...  2.8224452  3.5261326  5.02422  ]
36,6660,[16.983995  16.954987  16.761127  ... -2.6257489 -2.6902106 -2.7827086]
37,6144,[-2.7915552 -2.7481809 -2.7745564 ... -5.2814603 -5.424713  -5.4854836]
38,5628,[11.957652 11.70008  11.710032 ... 13.137743 13.092181 13.015957]
39,5882,[-5.438623  -5.3106008 -5.2079225 ...  8.82295    8.75536    8.50659  ]
40,8061,[-5.438623  -5.3106008 -5.2079225 ... 43.189686  43.23366   43.304752 ]
41,8700,"[-2.0735672  -2.0294962  -2.0484247  ...  0.94826484  0.7572617
  0.6337547 ]"
42,5759,"[-12.585242   -12.575535   -12.535377   ...   0.94826484   0.7572617
   0.6337547 ]"
43,3326,[ 3.9863715  4.390125   4.624128  ... -3.1687868 -3.0616014 -3.022981 ]
44,6914,[ 4.2378473  4.1551204  4.1214094 ... -3.1607337 -3.0864654 -3.1310437]
45,4735,[-2.2226112 -2.4811497 -2.6701772 ... -3.653819  -3.9632142 -4.1723876]
46,6013,"[-0.05714494 -0.2634942  -0.36447236 ...  5.4907713   5.6885276
  6.3969517 ]"
47,8577,[-8.26542   -8.126563  -8.058688  ... -4.9052486 -5.8337235 -5.104564 ]
48,8069,"[-3.8693862  -3.9442148  -2.9118207  ... -0.23572458 -0.8942681
 -0.68543446]"
49,8962,"[ 1.3186029   1.2191819   1.41571    ...  0.24638766 -0.36417785
 -0.0964155 ]"
50,4481,[3.6023674  3.8555882  3.6187332  ... 0.11010574 0.29561266 0.23629901]
51,6913,[-3.6701322 -1.9742258 -1.6374767 ... 21.41497   21.435272  21.657057 ]
52,3457,[21.55798  21.732033 21.945272 ... 13.959372 13.817342 13.763395]
53,4481,[13.745409 13.633079 13.57295  ...  6.0948    6.661558  7.084633]
54,6914,[5.8844    5.964604  6.145521  ... 6.287661  6.384921  6.4070897]
55,7168,[1.5831181 1.5857636 1.4581956 ... 3.6779814 3.7538118 3.8501503]
56,5628,"[ 0.98582727  0.993066    1.0115235  ... -0.1693303   0.07027171
  0.30111   ]"
57,7553,[ 3.6915236  3.5174074  3.450242  ... -9.713446  -9.689725  -9.657814 ]
